tweet_id,ground_truth_stance,predicted_stance,processing_time,has_image,topic,target
1558159007965118472,Against,Against,3.9346349239349365,True,Taiwan Question,MOC
1563132506320150530,Against,Against,3.7308099269866943,True,Taiwan Question,MOC
1555208688050139136,Neutral,Pro,4.838464736938477,True,Taiwan Question,MOC
1663714914572316673,Against,Against,3.2839276790618896,True,Taiwan Question,MOC
1556606649380458497,Neutral,Neutral,3.071171998977661,True,Taiwan Question,MOC
1658076326467862528,Neutral,Against,8.85867714881897,True,Taiwan Question,MOC
1556582593465827329,Against,Against,3.676513195037842,True,Taiwan Question,MOC
1651594380229189633,Against,Against,4.847187042236328,True,Taiwan Question,MOC
1659874617018957825,Against,Against,3.1415398120880127,True,Taiwan Question,MOC
1574354006918721538,Against,Against,3.6810801029205322,True,Taiwan Question,MOC
1569862483564974080,Against,Against,2.743619203567505,True,Taiwan Question,MOC
1490549813670199296,Pro,Unrelated,3.676954984664917,True,Taiwan Question,MOC
1518983244330450947,Against,Neutral,7.016679048538208,True,Taiwan Question,MOC
1496050882252877829,Pro,Unrelated,3.1322128772735596,True,Taiwan Question,MOC
1663069335483740160,Against,Against,2.636047124862671,True,Taiwan Question,MOC
1609879556512690176,Pro,Unrelated,3.048948049545288,True,Taiwan Question,MOC
1580084592102756352,Against,Against,3.4485840797424316,True,Taiwan Question,MOC
1651398995863035906,Against,Against,2.26845383644104,True,Taiwan Question,MOC
1554501298942316544,Against,Against,3.686933994293213,True,Taiwan Question,MOC
1662371345420763138,Against,Against,4.1077470779418945,True,Taiwan Question,MOC
1601576505058131968,Against,Unrelated,3.217724084854126,True,Taiwan Question,MOC
1629366696422289409,Neutral,Against,7.369723081588745,True,Taiwan Question,MOC
1517873467013709824,Against,Neutral,5.981389999389648,True,Taiwan Question,MOC
1556043536726110209,Against,Neutral,4.777349948883057,True,Taiwan Question,MOC
1572146468965974019,Against,Against,3.3441097736358643,True,Taiwan Question,MOC
1555050988704354304,Against,Against,3.1186299324035645,True,Taiwan Question,MOC
1555891436649730051,Against,Against,2.7292559146881104,True,Taiwan Question,MOC
1581714090220830720,Pro,Pro,3.3280842304229736,True,Taiwan Question,MOC
1479191037281193987,Against,Unrelated,3.836989164352417,True,Taiwan Question,MOC
1657255750610333696,Pro,Unrelated,3.0549721717834473,True,Taiwan Question,MOC
1545480425363177478,Pro,Unrelated,3.744615077972412,True,Taiwan Question,MOC
1485171016557281284,Against,Against,4.139158010482788,True,Taiwan Question,MOC
1598131139020935169,Against,Unrelated,3.2456328868865967,True,Taiwan Question,MOC
1545092496698621957,Against,Unrelated,7.317378044128418,True,Taiwan Question,MOC
1659881907130372097,Neutral,Against,4.019488096237183,True,Taiwan Question,MOC
1649390126802272257,Neutral,Against,4.718084096908569,True,Taiwan Question,MOC
1582423427130220545,Pro,Neutral,3.288949966430664,True,Taiwan Question,MOC
1524869508799815681,Against,Against,2.731718063354492,True,Taiwan Question,MOC
1610948642139168770,Pro,Unrelated,4.1982550621032715,True,Taiwan Question,MOC
1496129086611148803,Neutral,Neutral,3.522615671157837,True,Taiwan Question,MOC
1513466459858604034,Neutral,Neutral,4.0400612354278564,True,Taiwan Question,MOC
1561690717348515840,Against,Against,3.505218982696533,True,Taiwan Question,MOC
1542204971818663937,Pro,Unrelated,5.467756986618042,True,Taiwan Question,MOC
1643988089629720577,Neutral,Against,3.4503681659698486,True,Taiwan Question,MOC
1549482423586639875,Against,Unrelated,2.692126989364624,True,Taiwan Question,MOC
1650487550371565576,Against,Against,3.2781121730804443,True,Taiwan Question,MOC
1540262157631102976,Against,Against,5.947908163070679,True,Taiwan Question,MOC
1657094605542678543,Pro,Unrelated,3.4465768337249756,True,Taiwan Question,MOC
1586559042557575168,Pro,Unrelated,3.2802889347076416,True,Taiwan Question,MOC
1646861220652388352,Against,Against,3.3099160194396973,True,Taiwan Question,MOC
1250599177920249857,Pro,Pro,4.286875247955322,True,False COVID Treatment,CQ
1254227658444963840,Pro,Pro,5.673804998397827,True,False COVID Treatment,CQ
1275491488323928066,Pro,Pro,3.8997912406921387,True,False COVID Treatment,CQ
1254319553955483648,Pro,Pro,4.99040412902832,True,False COVID Treatment,CQ
1250978793851727872,Against,Against,2.5421698093414307,True,False COVID Treatment,CQ
1250043647405350912,Against,Against,3.0088050365448,True,False COVID Treatment,CQ
1249702984952377344,Neutral,Against,4.627947092056274,True,False COVID Treatment,CQ
1249006030157000704,Against,Against,4.777806997299194,True,False COVID Treatment,CQ
1256101238627688448,Pro,Pro,2.847921848297119,True,False COVID Treatment,CQ
1248212723520827394,Neutral,Pro,7.5879809856414795,True,False COVID Treatment,CQ
1249711703396438018,Against,Against,2.8229477405548096,True,False COVID Treatment,CQ
1247716060297650177,Pro,Pro,2.355449914932251,True,False COVID Treatment,CQ
1254580393698885632,Against,Against,2.2610509395599365,True,False COVID Treatment,CQ
1251265405152374788,Against,Against,5.714403867721558,True,False COVID Treatment,CQ
1248943635879493633,Neutral,Against,2.5883030891418457,True,False COVID Treatment,CQ
1265367522037108743,Neutral,Neutral,4.0104851722717285,True,False COVID Treatment,CQ
1246747795966414848,Neutral,Pro,9.418174982070923,True,False COVID Treatment,CQ
1249452512802979843,Against,Against,2.714416265487671,True,False COVID Treatment,CQ
1253584108904579074,Pro,Pro,4.347797870635986,True,False COVID Treatment,CQ
1250571634118885376,Against,Against,3.1853208541870117,True,False COVID Treatment,CQ
1251029941971415040,Against,Against,13.436933040618896,True,False COVID Treatment,CQ
1247540098431737858,Pro,Pro,2.9038448333740234,True,False COVID Treatment,CQ
1250489207585411072,Pro,Pro,3.276660919189453,True,False COVID Treatment,CQ
1249601474503589888,Pro,Pro,3.5298478603363037,True,False COVID Treatment,CQ
1247395933370740737,Neutral,Neutral,8.046814203262329,True,False COVID Treatment,CQ
1247688352213671944,Against,Against,6.642874002456665,True,False COVID Treatment,CQ
1252714956585238528,Against,Against,2.9437029361724854,True,False COVID Treatment,CQ
1247481505259151361,Neutral,Neutral,2.2356460094451904,True,False COVID Treatment,CQ
1250086176381259778,Against,Against,2.49786114692688,True,False COVID Treatment,CQ
1251013605081915392,Pro,Pro,2.628610134124756,True,False COVID Treatment,CQ
1247629769820319744,Pro,Pro,2.0086169242858887,True,False COVID Treatment,CQ
1250909312815435777,Neutral,Pro,3.523806095123291,True,False COVID Treatment,CQ
1250162689109659648,Pro,Pro,8.401745080947876,True,False COVID Treatment,CQ
1262469924607479809,Against,Against,2.700537919998169,True,False COVID Treatment,CQ
1254624866902454274,Against,Against,2.7370660305023193,True,False COVID Treatment,CQ
1250047883308605443,Against,Against,2.1813559532165527,True,False COVID Treatment,CQ
1247623885358542855,Neutral,Neutral,10.234221935272217,True,False COVID Treatment,CQ
1268299059128754176,Against,Against,3.133749008178711,True,False COVID Treatment,CQ
1254435640948768768,Against,Against,2.503970146179199,True,False COVID Treatment,CQ
1254206121348300801,Neutral,Neutral,2.765126943588257,True,False COVID Treatment,CQ
1248156171539746822,Against,Against,3.275644063949585,True,False COVID Treatment,CQ
1255673538670997505,Neutral,Pro,3.3103277683258057,True,False COVID Treatment,CQ
1246792716626862081,Neutral,Against,3.505073308944702,True,False COVID Treatment,CQ
1248280948359258112,Pro,Against,4.083597183227539,True,False COVID Treatment,CQ
